year,month,district,temperature,humidity,rainfall_mm,wind_speed,condition
2020,1,Ahmednagar,24,44,15,5,Cloudy
2020,1,Akola,36,42,17,9,Cloudy
2020,1,Amravati,23,66,0,4,Cloudy
2020,1,Aurangabad,37,76,18,8,Cloudy
2020,1,Beed,26,81,20,3,Cloudy
2020,1,Bhandara,23,62,19,5,Cloudy
2020,1,Buldhana,33,54,4,4,Cloudy
2020,1,Chandrapur,37,68,7,3,Cloudy
2020,1,Dhule,36,46,15,12,Cloudy
2020,1,Gadchiroli,26,57,16,8,Cloudy
2020,1,Gondia,20,63,14,10,Cloudy
2020,1,Hingoli,30,85,13,4,Cloudy
2020,1,Jalgaon,26,73,7,6,Cloudy
2020,1,Jalna,29,72,14,4,Cloudy
2020,1,Kolhapur,32,61,1,4,Cloudy
2020,1,Latur,28,49,5,10,Cloudy
2020,1,Mumbai City,28,49,15,12,Cloudy
2020,1,Mumbai Suburban,23,59,9,8,Cloudy
2020,1,Nagpur,30,76,0,8,Cloudy
2020,1,Nanded,35,90,12,12,Cloudy
2020,1,Nandurbar,23,62,9,10,Cloudy
2020,1,Nashik,36,67,14,6,Cloudy
2020,1,Osmanabad,30,54,4,8,Cloudy
2020,1,Palghar,38,70,0,3,Cloudy
2020,1,Parbhani,24,80,13,10,Cloudy
2020,1,Pune,34,42,14,8,Cloudy
2020,1,Raigad,34,52,19,6,Cloudy
2020,1,Ratnagiri,34,67,3,9,Cloudy
2020,1,Sangli,29,42,7,10,Cloudy
2020,1,Satara,32,70,4,5,Cloudy
2020,1,Sindhudurg,27,65,12,5,Cloudy
2020,1,Solapur,37,59,5,5,Cloudy
2020,1,Thane,34,43,4,5,Cloudy
2020,1,Wardha,20,69,10,6,Cloudy
2020,1,Washim,27,49,8,7,Cloudy
2020,1,Yavatmal,34,80,8,7,Cloudy
2020,2,Ahmednagar,22,81,14,12,Cloudy
2020,2,Akola,23,53,6,10,Cloudy
2020,2,Amravati,23,70,7,7,Cloudy
2020,2,Aurangabad,32,42,12,2,Cloudy
2020,2,Beed,25,93,11,3,Cloudy
